Bill Number,Bill Date,Retailer Name,Beat Name,Salesman,Bill Amount
P252610843,01-09-2025,VEERABHADRESHWARA PROV STORE,60 Feet Road,HANUMANYTHA D,3127
P252610844,01-09-2025,HARISH Tharakari Angadi,60 Feet Road,HANUMANYTHA D,741
P252610845,01-09-2025,KARTHIK PR ST,60 Feet Road,HANUMANYTHA D,714
P252610846,01-09-2025,VARSHITH GEN STORE,60 Feet Road,HANUMANYTHA D,432
P252610847,01-09-2025,SRI  ANJENEYYA  P/S,60 Feet Road,HANUMANYTHA D,745
P252610848,01-09-2025,SAET SUPER MART (G),60 Feet Road,HANUMANYTHA D,992
P252610849,01-09-2025,NANDI PRO STORES,PB Road,Nagaraj B,1217
P252610850,01-09-2025,SUNITHA BAKERY,PB Road,Nagaraj B,1149
P252610851,01-09-2025,AMBHABAVANI PRO STORE,PB Road,Nagaraj B,929
P252610852,01-09-2025,BALAJI P/S,PB Road,Nagaraj B,857
P252610853,01-09-2025,SRUSHTI P/S (9902998749),PB Road,Nagaraj B,549
P252610854,01-09-2025,RANGANATHA GEN STORE,PB Road,Nagaraj B,323
P252610855,01-09-2025,BASAVESHWARA P S DURGAMBIKA SCHOOL,PB Road,Nagaraj B,2574
P252610856,01-09-2025,DEEPAK BOOKS AND  STATIONARY,PB Road,Nagaraj B,2590
P252610857,01-09-2025,ANJEENAYA.G/S,PB Road,Nagaraj B,5656
P252610858,01-09-2025,SHIVA STORES,PB Road,Nagaraj B,898
P252610859,01-09-2025,VINAYAKA .PRO STORE,PB Road,Nagaraj B,1266
P252610860,01-09-2025,Sonu Provision Store,Hondad Road,KOTRESH M,607
P252610861,01-09-2025,PATEL KIRANI STORE,Hondad Road,KOTRESH M,487
P252610862,01-09-2025,DHANALAKSHIMI .P/S,Hondad Road,KOTRESH M,1884
P252610863,01-09-2025,SRI  SAI  P/S,Hondad Road,KOTRESH M,529
P252610864,01-09-2025,BATHISIDDESHWAR. P/S,Hondad Road,KOTRESH M,9070
P252610865,01-09-2025,LAKSHMI VENKATESHWARA P/S,Hondad Road,KOTRESH M,1048
P252610866,01-09-2025,LAKSHMI PRO STORE,Hondad Road,KOTRESH M,323
P252610867,01-09-2025,VENKATESHWARA SWEET BEKARY,Hondad Road,KOTRESH M,1260
P252610868,01-09-2025,RANGANATH.BEKARY,Hondad Road,KOTRESH M,562
P252610869,01-09-2025,SRI SAI G/S,Hondad Road,KOTRESH M,1373
P252610870,01-09-2025,BABU RICE CORNER,Hondad Road,KOTRESH M,1983
P252610871,01-09-2025,YASH PROVISION STORE,Hondad Road,KOTRESH M,643
P252610872,01-09-2025,CHINNU PROVISION STORES,Hondad Road,KOTRESH M,607
P252610873,01-09-2025,Manju nath Provision Store,Hondad Road,KOTRESH M,1096
P252610874,01-09-2025,CAKE WORLD,Hondad Road,KOTRESH M,607
P252610875,01-09-2025,RAFIQ TEA STALL,Hondad Road,KOTRESH M,1970
P252610876,01-09-2025,MANJUNATHA SETTY,Hondad Road,KOTRESH M,1784
P252610877,01-09-2025,K S RAMESH,Hondad Road,KOTRESH M,541
P252610878,01-09-2025,SHARADAMMA PRO ST,Hondad Road,KOTRESH M,1696
P252610879,01-09-2025,SURYA BAKERY,Ram Nagar,Rajesh,1111
P252610880,01-09-2025,SANJAY RICE CORNER,Ram Nagar,Rajesh,631
P252610881,01-09-2025,THIRUMALA PR ST NEAR SOUNDARYA,Ram Nagar,Rajesh,429
P252610882,01-09-2025,YADUPATI P S,Ram Nagar,Rajesh,1640
P252610883,01-09-2025,H. R. PAKRUDDIN VEGETEBLE,Ram Nagar,Rajesh,753
P252610884,01-09-2025,SRINIDHI VEGITABLE,Ram Nagar,Rajesh,2556
P252610885,01-09-2025,PUJAR  PRO  STORE,Ram Nagar,Rajesh,484
P252610886,01-09-2025,MARUTHI PRO STORE,Ram Nagar,Rajesh,1653
P252610887,01-09-2025,SHIVA PRO STORE,Ram Nagar,Rajesh,432
P252610888,01-09-2025,SHANKAR PRO STORE,Ram Nagar,Rajesh,218
P252610889,01-09-2025,RAGHURAM PS NEAR RAMESH ST,Ram Nagar,Rajesh,4740
P252610890,01-09-2025,,Ram Nagar,Rajesh,938
P252610891,01-09-2025,HULIKAL VEERABHADRESHARA STORE,Ram Nagar,Rajesh,1193
P252610892,01-09-2025,VILCART SOLUTIONS PVT LTD (G),Ram Nagar,Rajesh,544
